index,status,text,source_limit,encoded_length
68,replaced,Sambung probe ke bateri.,34,24
69,replaced, <UP> <Down> Laras nilai sebenar,34,32
70,replaced, <ESC> Keluar          <OK> SIMPAN,34,34
71,replaced,Masa tidur,16,10
72,replaced, min ,5,5
73,replaced, Tekan <OK> untuk terus ,34,24
74,replaced,Voltan Bekal:       V,33,21
75,replaced, <UP>Pintas B+ <DOWN>Pintas B-,31,30
76,replaced,Sambungan salah!!,28,17
77,replaced,Tentukur Voltan Bateri,30,22
78,replaced,Sambung bateri kenderaan!,26,25
79,replaced,Tentukur arus(mA) ,28,18
80,replaced,Sambung ke isyarat arus(mA)!,29,28
81,replaced,Tentukur Voltan Litar Kenderaan,35,31
82,replaced,Sambung ke isyarat voltan!,26,26
83,replaced,Tentukur arus(A) ,23,17
84,replaced,Sambung ke isyarat arus(A)!,28,27
87,replaced,Huraian Fungsi,20,14
88,replaced,Bocor Kunci Jauh(3V),22,20
89,replaced,Voltan:      ,13,13
90,replaced,Output Isyarat Voltan,32,21
91,replaced,(Terminal: C01-S1),32,18
92,replaced,(Terminal: C01-S2),34,18
93,replaced,gelombang petak:     ,32,21
94,replaced,Laras Voltan:        ,33,21
95,replaced,<F1><F2> Tetap Frekuensi,33,24
159,replaced,PILIHAN BAHASA,29,14
160,replaced,Hidupkan enjin dan,22,18
161,replaced,biar 15 saat           ,30,23
162,replaced,Ujian Mula,31,10
163,replaced,hidupkan enjin,16,14
164,replaced,Voltan min > 9.6V,23,17
165,replaced,Voltan min > 19.2V,25,18
166,replaced,Ujian Penyuntik,28,15
167,replaced,Ujian Relay Auto,28,16
168,replaced,RPM Enjin Simulasi,28,18
169,replaced, Tekan <OK> output ,25,19
170,replaced, Tekan <OK> henti  ,26,19
171,replaced,Status Output,26,13
172,replaced,Voltan masa nyata:,26,18
173,replaced,Voltan Minimum:,25,15
174,replaced,       Normal      ,30,19
175,replaced,Voltan rendah.,32,14
176,replaced,Ujian Litar Kenderaan,31,21
177,replaced,1.Skrin Mula ,32,13
178,replaced,2.Ukur Voltan,33,13
179,replaced,3.Ukur Arus,31,11
180,replaced,4.Ukur Rintangan,31,16
181,replaced,5.Osiloskop,24,11
182,replaced,6.Kesan litar auto,27,18
183,replaced,7.Ujian cranking bateri,25,23
184,replaced,8.Uji injektor,26,14
185,replaced,9.Uji relay,26,11
186,replaced,10.Uji isyarat analog,26,21
187,replaced,11.Ujian nadi nyalaan,25,21
188,replaced,12.Kesan Data K/Lin,30,19
189,replaced,13.Kesan Data CAN,26,17
190,replaced,14.Ukur Frekuensi,34,17
191,replaced,1.Skrin Mula ,34,13
192,replaced,2.Ukur Voltan,34,13
193,replaced,3.Ukur Arus,35,11
194,replaced,4.Ukur Rintangan,34,16
195,replaced,5.Osiloskop,35,11
196,replaced,6.Ujian nadi nyalaan,34,20
197,replaced,7.Ukur Frekuensi,35,16
198,replaced,1.Skrin Mula ,34,13
199,replaced,2.Ukur Voltan,36,13
200,replaced,3.Ukur Arus,35,11
201,replaced,4.Ukur Rintangan,34,16
202,replaced,5.Osiloskop,34,11
203,replaced,6.Ujian isyarat voltan,35,22
204,replaced,7.Uji isyarat analog,34,20
205,replaced,1.Skrin Mula,35,12
536,replaced,1.Skrin Mula,36,12
675,replaced,1.Skrin Mula,35,12
