index,source_length,source,translation
209,34, are displayed in the upper right,dan pengecasan dipaparkan di
210,34,corner of the screen.Press the dir,penjuru kanan atas. Gunakan butang
211,34,"ection keys to move the cursor,pre","arah untuk gerak kursor, <OK>"
212,34,"ss <OK>to enter functions,<ESC>to","untuk masuk fungsi, dan <ESC>"
213,34,exit.Press light key to turn on/of,untuk keluar. Butang lampu
214,34,"f the light,<HOLD> key to lock the","hidup/matikan lampu, <HOLD>"
215,34," display value during the test,<F1","mengunci nilai bacaan, <F1><F2>"
216,34, ><F2>to operate according to the,"ikut arahan paparan, dan <Fn>"
217,34," prompts, <Fn> to switch the funct",menukar mod fungsi.
218,34, ion mode in the function items.,
219,34,2.Voltage Measurement,2.Ukur Voltan
220,34,Enter the voltage measurement func,Masuk fungsi ukur voltan untuk
221,34,"tion,the current measurement value",melihat bacaan semasa. Tekan
222,34," is displayed,press<HOLD>to lock t",<HOLD> untuk mengunci bacaan dan
223,34,"he measurement value,press<F1>for","<F1> untuk sifar. Semasa guna,"
224,34,"zeroing.When using, short connecte","pintaskan probe merah dan hitam,"
225,34,"d the red and black probe,and hold","tahan, kemudian tekan <F1>. Tekan"
226,34," it, and then press <F1>. <Fn>for",<Fn> untuk tukar mod DC/AC/bentuk
227,34,"switching function mode,press <Fn>",gelombang. Julat voltan hingga
228,34,to switch DC voltage/AC voltage/wa,"1000V; DC maks 1000V, AC maks"
229,34,veform display. The voltage measur,"700V, dan julat bertukar"
230,34,"ement range is up to 1000V, the ma",automatik.
231,34,"x.DC voltage is 1000V, the max.AC",
232,34,"voltage is 700V, and the range is",
233,34,automatically converted.,
234,34,3.Current Measurement,3.Ukur Arus
235,34,Enter the current measurement func,Masuk fungsi ukur arus untuk
236,34,"tion,the current measurement value",melihat bacaan semasa. Tekan
237,34," is displayed,press<HOLD>to lock t",<HOLD> untuk mengunci bacaan dan
238,34,"he measurement value,press<F1>for",<F1> untuk sifar. Pintaskan probe
239,34,"zeroing.When using, short connecte","merah dan hitam, tahan, kemudian"
240,34,"d the red and black probe,and hold",tekan <F1>. Tekan <Fn> untuk tukar
241,34," it, and then press <F1>. <Fn>for",DC/AC. Tekan <F2> untuk tukar jack
242,34,"switching function mode,press <Fn>",ukur. mA hijau bermaksud probe
243,34,to switch DC voltage/AC voltage.,merah pada jack mA; 20A kuning
244,34,Press <F2> to switch the measureme,bermaksud probe merah pada jack
245,34,"nt jack.If it shows mA (green), it",20A. Julat arus 0-200mA.
246,34, means that the red probe is inser,
247,34,ted from the mA jack for measureme,
248,34,"nt, if it shows 20A (yellow), whic",
249,34,h means that the red probe is inse,
250,34,rted from the 20A jack for measure,
251,34,ment. Current measurement range is,
252,34, 0-200mA.,
253,34,4.Resistance Measurement,4.Ukur Rintangan
254,34,Enter the resistance measurement f,Masuk fungsi ukur rintangan untuk
255,34,"unction,the current measurement va",melihat bacaan semasa. Tekan
256,34,"lue is displayed,press<HOLD>to loc",<HOLD> untuk mengunci bacaan dan
257,34,"k the measurement value,press<F1>f",<F1> untuk sifar. Pintaskan probe
258,34,"or zeroing.When using, short conne","merah dan hitam, tahan, kemudian"
259,34,"cted the red and black probe,and h",tekan <F1>. Tekan <Fn> untuk tukar
260,34,"old it, and then press <F1>. <Fn>f",paparan rintangan atau voltan
261,34,"or switching function mode,press <",diod. Fungsi ini mengukur
262,34,Fn> to switch resistance display/,rintangan dan jatuhan voltan
263,34,diode voltage display. This functi,hadapan diod tanpa penukaran
264,34,on item simultaneously measures th,manual. Rintangan maks 5MOhm dan
265,34,e resistance value and the forward,julat bertukar automatik. Jatuhan
266,34, voltage drop of the diode without,hadapan diod maks 2.4V. Jika
267,34, conversion.The max.measuring resi,"rintangan di bawah 20 Ohm, bunyi"
268,34,"sance is up to 5MΩ,and the range",amaran menandakan keadaan
269,34,is automatically converted. The ma,"rintangan rendah, berguna untuk"
270,34,x.forward voltage drop of the diod,memeriksa litar pintas.
271,34,e is 2.4V. When the measured resis,
272,34,"tance is lower than 20 Ω,a prompt",
273,34, tone will sound to indicate the,
274,34,"low-resistance status,which is con",
275,34,venient for judging whether the ci,
276,34,rcuit is short-out during circuit,
277,34,inspection.,
278,34,5.Oscilloscope,5.Osiloskop
279,34,"Enter the oscilloscope function,th",Masuk fungsi osiloskop untuk
280,34,e waveform of current measured val,melihat bentuk gelombang nilai
281,34,ue  is displayed.Press<HOLD>to loc,yang diukur. Tekan <HOLD> untuk
282,34,"k the current status,<↑>/<↓>/<←",kunci keadaan semasa.
283,34,">/<→>makes the waveform move up,",<UP>/<DOWN>/<LEFT>/<RIGHT>
284,34,"down, left and right respectively.",menggerakkan bentuk gelombang.
285,34,Under normal measurement status:,"Dalam keadaan normal, <UP>"
286,34,<↑> means the voltage division va,mengecilkan nilai pembahagi
287,34,"lue decreases, <down> means the vo","voltan, <DOWN> membesarkan nilai"
288,34,"ltage division value increases, <l","itu, <LEFT> menambah masa imbasan,"
289,34,eft> means the detection time incr,dan <RIGHT> mengurangkan masa
290,34,"eases, <right> means the detection",imbasan. <F1> mengalih aras
291,34," time decreases, <F1>means positiv","trigger positif, <F2> negatif."
292,34,"e shift of trigger level, while<F2",Julat bentuk gelombang hingga
293,34,>means negative shift. The voltage,1000V dan julat bertukar
294,34,"waveform range is up to 1000V, and",automatik.
295,34, the range is automatically conver,
296,34,ted.,
297,34,6.Automotive circuit detection,6.Kesan litar auto
298,34,Enter the automotive circuit detec,Masuk fungsi kesan litar
299,34,"tion function,the current measurem",automotif. Bacaan semasa
300,34,"ent value is displayed,press<HOLD>",dipaparkan; <HOLD> mengunci bacaan
301,34,"to lock the measurement value,pres",dan <F1> untuk sifar. Sambungkan
302,34,"s<F1>for zeroing.When using, short",probe merah ke terminal negatif
303,34, connected the red probe to the ne,"bateri, tahan, kemudian tekan"
304,34,"gative pole of the battery,and hol",<F1>. Tekan <Fn> untuk tukar
305,34,"d it, and then press <F1>. <Fn>for",voltan/bentuk gelombang. <UP>
306,34,"switching function mode,press <Fn>",memacu output voltan positif untuk
307,34,to switch voltage measurement/wave,beban kecil seperti lampu atau
308,34,form display.<↑>Drive voltage out,relay. <DOWN> memintas ke terminal
309,34,put.Press it to connect the red pr,negatif untuk memacu beban kecil
310,34,obe to the positive pole of the po,seperti solenoid atau relay. Jika
311,34,"wer supply,which is used to drive","voltan hampir voltan bekalan,"
312,34,"low-power devices on the car, such",paparan memberi amaran merah. Jika
313,34,"as lights, relays, etc. <↓>is to","voltan di bawah 0.7V, pulse kesan"
314,34,short-circuit the negative pole of,kebocoran dihantar. Jika rintangan
315,34,the power supply. Press it to conn,"talian bawah 10K, paparan memberi"
316,34,ect the red probe to the negative,amaran hijau.
317,34,pole of the power supply，which is,
318,34,used to drive low-power devices on,
319,34,"the car,such as solenoid valves,",
320,34,"relays, etc. On the display interf",
321,34,"ace, when the detection voltage is",
322,34,close to the power supply voltage,
323,34,(greater than the actual voltage,
324,34,"value of the battery minus 0.7),",
325,34,it will be prompted in red. when,
326,34,the detection voltage is lower tha,
327,34,"n 0.7V, a leakage detection pulse",
328,34,will be automatically sent out. wh,
329,34,en the line resistance is lower th,
330,34,"an 10K, it will be prompted in gre",
331,34,en .,
332,34,7.Battery cranking test,7.Ujian cranking bateri
333,34,This function is applicable to the,Fungsi ini untuk ujian cranking
334,34,cranking test of automobiles and m,"kereta dan motosikal, bagi menilai"
335,34,"otorcycles, and detects whether th",sama ada keadaan bateri memenuhi
336,34,e battery status of the vehicle me,"keperluan mula enjin. Ikut arahan,"
337,34,ets the cranking requirements. Ent,"matikan enjin, sambungkan kabel"
338,34,"er this function item, follow the","utama dan klip bateri, tekan <OK>"
339,34,"prompts, turn off the vehicle engi","untuk masuk mod pemantauan,"
340,34,"ne, connect the main detection lin","hidupkan enjin, kemudian baca"
341,34,"e and battery clamp, press <OK> to",keputusan. Voltan minimum melebihi
342,34,"enter the monitoring state, start",9.6V semasa mula adalah normal.
343,34,the vehicle engine according to th,"Jika lebih rendah, semak punca"
344,34,"e prompt, and display the test res","seperti bateri uzur, arus starter"
345,34,ult by the measured value. It is n,"terlalu tinggi, atau bateri tidak"
346,34,ormal for the minimum voltage to b,cukup cas. Ganti bateri jika sudah
347,34,e greater than 9.6V during vehicle,uzur. Jika kabel/klip tidak
348,34,start-up. If it is lower than this,"disambung, bacaan boleh terapung"
349,34,"value, it is necessary to determin",akibat input terbuka dan tidak
350,34,e the cause of the fault. It may b,boleh dianggap sebagai voltan
351,34,e that the battery is aging/the st,bateri sebenar.
352,34,arter current is too high/the batt,
353,34,ery is not fully charged. If the b,
354,34,"attery is aging, the battery needs",
355,34,to be replaced in time.,
356,34,8.Injector test,8.Ujian injektor
357,34,This function is applicable to fue,Fungsi ini untuk pacu dan uji
358,34,l injector signal drive and signal,isyarat penyuntik bahan api.
359,34,test. Connect the main detection,"Sambungkan kabel utama, gunakan"
360,34,"line, use the battery clamp to con","klip bateri ke bekalan 12V,"
361,34,nect the 12V battery for power sup,kemudian sambungkan penyuntik
362,34,"ply, and then connect the fuel inj",untuk memacu penyuntik 12V terus.
363,34,ector to directly drive the 12V fu,Ia memberi isyarat kerja simulasi
364,34,el injector to work. It can provid,500 hingga 6000 rpm dengan lebar
365,34,e the analog working signal of the,pulse 3mS. Gunakan probe untuk
366,34,"injector between 500 and 6000 rpm,",semak prestasi penyuntik. Tekan
367,34,and the injection pulse width is,"<OK> untuk masuk antara muka pacu,"
368,34,3mS. Use the probe to check the op,butang arah melaras kelajuan
369,34,erating performance of the fuel in,"simulasi, <OK> hidup/matikan"
370,34,jector. When entering the function,"isyarat pacu, dan <Fn> masuk kesan"
371,34,"item, a prompt message will be dis",isyarat. Output pacu tidak
372,34,played. Press <OK> to enter the si,dimatikan ketika masuk kesan
373,34,"gnal drive interface, the directio",isyarat.
374,34,n key to adjust the analog signal,
375,34,"speed, press <OK> to turn on/off",
376,34,"the analog drive signal, and press",
377,34,<Fn> to enter the signal detection,
378,34,. When entering the signal detecti,
379,34,"on, the drive signal output will n",
380,34,ot be turned off.,
381,34,9.Relay test,9.Ujian relay
382,34,This function is applicable to aut,Fungsi ini untuk ujian relay
383,34,omotive relay test. Connect the ma,automotif. Sambungkan kabel utama
384,34,"in detection line, use the battery","dan klip bateri ke bekalan 12V,"
385,34,clamp to connect the 12V battery,kemudian sambungkan kabel khas
386,34,"for power supply, and then connect",relay untuk memacu relay 12V.
387,34,"to the special line of the relay,",Gunakan kabel khas ke pin gegelung
388,34,which can directly drive the 12V,"relay, dan probe merah/hitam untuk"
389,34,relay to operate. Use the special,mengukur rintangan sentuh.
390,34,wire of the relay to connect the,Rintangan kecil bermaksud sentuhan
391,34,"coil pin of the relay, and use the",tersambung; rintangan besar
392,34,red and black probes to detect the,bermaksud terputus. Tekan <OK>
393,34,contact resistance of the relay.If,"untuk masuk antara muka, <OK>"
394,34,"the resistance is small, the conta","hidup/matikan pacu relay, dan"
395,34,"ct is connected, and if the resist",probe mengukur rintangan sentuh.
396,34,"ance is large, the contact is disc",
397,34,onnected. When entering the functi,
398,34,"on item, a prompt message will be",
399,34,displayed.Press <OK> to enter the,
400,34,"detection interface,press  <OK> to",
401,34,turn on/off the relay drive signal,
402,34,", and use the probe to measure the",
403,34,contact resistance.,
404,34,10.Analog signal test,10.Ujian isyarat analog
405,34,This function can simulate and out,Fungsi ini mensimulasi output
406,34,put square wave and sine wave. It,gelombang petak dan sinus. Ia
407,34,is suitable for vehicle line detec,sesuai untuk ujian talian
408,34,tion or ECU analog signal input te,kenderaan atau input isyarat
409,34,st. Connect the main detection lin,analog ECU. Sambungkan kabel utama
410,34,"e, use battery clamps to connect",dan klip bateri ke bekalan 12V
411,34,"12V battery power supply, and out",untuk output gelombang petak 12V.
412,34,put 12V square wave signals. With,"Tanpa bekalan luar, ia boleh"
413,34,"out external power supply, it can",output gelombang petak 4.5V.
414,34,output 4.5V square wave signal. T,Gelombang petak keluar dari
415,34,he square wave signal is output f,"terminal [K line], gelombang sinus"
416,34,"rom the [K line] terminal, the si","dari talian isyarat, dan talian 5V"
417,34,ne wave signal is output from the,mengeluarkan sinus 0-4.5V. Tekan
418,34,"signal line, and the 5V signal li","<OK> untuk hidup/matikan output,"
419,34,ne outputs a sine wave of 0-4.5V.,"butang arah melaras frekuensi,"
420,34,"When entering the function items,","<F1><F2> melaras duty cycle, dan"
421,34,a prompt message will be displayed,<Fn> masuk kesan isyarat. Output
422,34,".Press <OK> to control,turn on/off",analog tidak dimatikan ketika
423,34,"signal output,the direction keys",masuk kesan isyarat.
424,34,to adjust the frequency of the ana,
425,34,"log signal, <F1><F2> to adjust the",
426,34,"duty cycle of the square wave,pres",
427,34,s the <Fn> key to enter the signal,
428,34,"detection, the analog signal outpu",
429,34,t will not be turned off when ente,
430,34,ring the signal detection.,
431,34,11.Ignition Pulse Test,11.Ujian nadi nyalaan
432,34,This function is applicable to the,Fungsi ini untuk ujian isyarat
433,34,high-voltage signal test of gasoli,voltan tinggi nyalaan enjin petrol
434,34,ne engine ignition of automobiles,pada kereta dan motosikal.
435,34,"and motorcycles,and detects the hi","Sambungkan sensor isyarat nyalaan,"
436,34,gh-voltage signal of vehicle ignit,"masuk antara muka ujian, dan"
437,34,ion. connects the ignition signal,dekatkan kepala sensor ke wayar
438,34,"sensor, enters the test interface,",voltan tinggi nyalaan. Bentuk
439,34,and puts the sensor head (signal s,gelombang nyalaan akan dipaparkan.
440,34,ensing area) close to the high-vol,Jika kenderaan tiada wayar voltan
441,34,tage wire of vehicle ignition sign,"tinggi luaran, dekatkan sensor ke"
442,34,"al,then the waveform of the igniti",gegelung nyalaan; isyarat mungkin
443,34,on signal will be displayed. If it,lebih kecil. Tekan <F1> untuk
444,34,is a vehicle that can be ignited d,"tukar mod enjin 4-lejang, 2-lejang"
445,34,irectly and there is no external h,atau distributor. <HOLD> mengunci
446,34,"igh-voltage wire, you can put the",keadaan semasa. Dalam bacaan
447,34,sensor head close to the ignition,"normal, <UP> mengecilkan pembahagi"
448,34,"high-voltage coil, and the wavefor","voltan, <DOWN> membesarkan, <LEFT>"
449,34,m of the ignition signal will be d,"menambah masa imbasan, dan <RIGHT>"
450,34,"isplayed. At this time, the signal",mengurangkannya.
451,34,"strength will be relatively small,",
452,34,so take care of it. Press<F1> to s,
453,34,"witch the engine mode, which can",
454,34,be switched to 4-stroke/2-stroke/d,
455,34,istributor mode. The common car en,
456,34,"gine is 4-stroke, and some motorcy",
457,34,cle engines are 2-stroke. Old engi,
458,34,nes will use the distributor to di,
459,34,stribute high-voltage signals. Eng,
460,34,ine speed can be displayed in 4-st,
461,34,roke/2-stroke mode. <HOLD> is to,
462,34,"lock the current state, under norm",
463,34,al measurement state: <↑> means t,
464,34,he voltage division value decrease,
465,34,"s, <↓> means the voltage division",
466,34,"value increases,<←>means increase",
467,34,"s the scan time,<→> means the sca",
468,34,n time decreases.,
469,33,12.K/Lin Data Detection,12.Kesan Data K/Lin
470,34,This function can be used to detec,Fungsi ini mengesan data
471,34,t the communication data of the ve,komunikasi K/Lin kenderaan dan
472,34,"hicle K/lin, and is suitable for",sesuai untuk menyemak sama ada ada
473,34,detecting whether there is signal,penghantaran isyarat pada talian
474,34,transmission on the vehicle commun,komunikasi. Sambungkan kabel
475,34,ication line. Connect the main det,"utama, talian ground isyarat ke"
476,34,"ection line, connect the signal gr",pin ground kenderaan (contoh
477,34,ounding line to the grounding pin,lubang 5 OBD-II) atau ground
478,34,of the vehicle（e.g No. 5 hole of,"badan, dan talian K ke pin"
479,34,"OBD-II),when it is inconvenient to",berkaitan (contoh lubang 7
480,34,"access, it can be connected to the",OBD-II). Data diterima dipaparkan
481,34,"ground of the car body, and the si",sebagai nilai heks. Tekan <F1>
482,34,gnal line for K line is connected,untuk padam paparan dan laras baud
483,34,to the relevant pin.(e.g the No. 7,rate dengan <LEFT>/<RIGHT>. Data
484,34,hole of OBD-II). Enter the functio,betul hanya diterima apabila baud
485,34,n item to display the currently re,rate isyarat sama dengan tetapan.
486,34,"ceived data, and it is a hexadecim",
487,34,al value. Press <F1> to clear the,
488,34,"displayed data, and adjust the com",
489,34,munication baud rate with the <lef,
490,34,t> and <right> keys.Only when the,
491,34,signal baud rate is consistent wit,
492,34,h the set baud rate can the correc,
493,34,t data be received. This function,
494,34,is used with a professional decode,
495,34,"r, and can check communication lin",
496,34,e failures.,
497,34,13.CAN Line Data Detection,13.Kesan Data CAN
498,34,This function can be used to detec,Fungsi ini mengesan data
499,34,t the data communication of the ve,komunikasi CAN bus kenderaan.
500,34,hicle CAN bus. It is suitable for,"Sambungkan kabel utama, ground"
501,34,detecting whether there is signal,isyarat ke pin ground kenderaan
502,34,transmission in the vehicle commun,(contoh lubang 5 OBD-II) atau
503,34,"ication line, connecting the main","ground badan, CAN+ ke pin CAN+"
504,34,"detection line, and connecting the","(contoh lubang 6 OBD-II), dan CAN-"
505,34,signal grounding line to the groun,ke pin CAN- (contoh lubang 14
506,34,ding pin of the vehicle (e.g. the,OBD-II). Data diterima dipaparkan
507,34,No. 5 hole of OBD-II).When it is,sebagai nilai heks. Tekan <F1>
508,34,"inconvenient to access, it can be",untuk padam paparan dan laras baud
509,34,"connected to the body ground, conn",rate dengan <LEFT>/<RIGHT>. Data
510,34,ect the CAN+ signal line to the CA,betul hanya diterima apabila baud
511,34,N+ signal pin(e.g. the No. 6 hole,rate sama dengan tetapan. Fungsi
512,34,"of OBD-II),and connect the CAN- si",ini boleh membantu semak kerosakan
513,34,gnal line to the CAN-signal pin(e.,talian komunikasi bersama decoder
514,34,g. the No. 14 hole of OBD-II).,profesional.
515,34,Enter the function item to display,
516,34,"the currently received data, and",
517,34,it is a hexadecimal value. Press <,
